year,y,y_pre
2011/3/4,11.79,11.30201721
2011/3/7,12.1,11.42219925
2011/3/8,12.08,11.66217518
2011/3/9,12,11.66120815
2011/3/10,11.92,11.60694599
2011/3/11,11.84,11.62197208
2011/3/14,11.69,11.59597111
2011/3/15,11.54,11.57338238
2011/3/16,11.55,11.46459103
2011/3/17,11.64,11.34454632
2011/3/18,11.57,11.33539104
2011/3/21,11.75,11.33436394
2011/3/22,11.76,11.3833456
2011/3/23,11.79,11.42526722
2011/3/24,11.93,11.45105457
2011/3/25,11.94,11.624897
2011/3/28,11.99,11.65590572
2011/3/29,11.87,11.68857956
2011/3/30,11.94,11.65859222
2011/3/31,11.9,11.64118671
2011/4/1,12,11.62512016
2011/4/6,12.15,11.64232159
2011/4/7,12.11,11.76861858
2011/4/8,12.17,11.84265518
2011/4/11,12.18,11.84707355
2011/4/12,12.05,11.91829967
2011/4/13,12.02,11.87155056
2011/4/14,12.02,11.79601383
2011/4/15,12.02,11.75846291
2011/4/18,12.11,11.71378231
2011/4/19,11.86,11.78764057
2011/4/20,11.9,11.75024509
2011/4/21,11.95,11.67848015
2011/4/22,11.89,11.66391659
2011/4/25,11.78,11.65537834
2011/4/26,11.72,11.61647415
2011/4/27,11.68,11.55286121
2011/4/28,11.68,11.49303722
2011/4/29,11.71,11.47161579
2011/5/3,11.72,11.46027851
2011/5/4,11.46,11.44219875
2011/5/5,11.4,11.38146305
2011/5/6,11.15,11.27940655
2011/5/9,11.15,11.13187885
2011/5/10,11.2,11.00681019
2011/5/11,11.18,10.92164326
2011/5/12,11.03,10.88627338
2011/5/13,11.13,10.84441471
2011/5/16,11.05,10.82933903
2011/5/17,11.02,10.80541801
2011/5/18,0,10.77778721
2011/5/19,11.04,10.12610626
2011/5/20,11.08,10.45687962
2011/5/23,10.87,11.00972939
2011/5/24,10.66,11.20576
2011/5/25,10.84,10.9517889
2011/5/26,10.88,10.61362553
2011/5/27,10.97,10.57957554
2011/5/30,10.98,10.59745979
2011/5/31,11.01,10.61246967
2011/6/2,10.7,10.6495142
2011/6/3,10.71,10.60310364
2011/6/7,10.83,10.531703
2011/6/8,10.84,10.52619743
2011/6/9,10.81,10.50845432
2011/6/10,10.83,10.49200344
2011/6/13,10.82,10.50091934
2011/6/14,10.87,10.50658417
2011/6/15,10.92,10.52486134
2011/6/16,10.72,10.55976391
2011/6/17,10.77,10.52938938
2011/6/20,10.66,10.49628544
2011/6/21,10.67,10.4651947
2011/6/22,10.69,10.43827438
2011/6/23,10.74,10.41665363
2011/6/24,10.82,10.41657352
2011/6/27,10.82,10.46723557
2011/6/28,10.76,10.51720428
2011/6/29,10.78,10.50323391
2011/6/30,10.89,10.4953537
2011/7/1,10.83,10.51449013
2011/7/4,10.95,10.53330135
2011/7/5,10.93,10.59431648
2011/7/6,11.06,10.6257925
2011/7/7,10.94,10.70417595
2011/7/8,10.88,10.69794464
2011/7/11,10.88,10.63745785
2011/7/12,10.72,10.58581638
2011/7/13,10.76,10.53859615
2011/7/14,10.79,10.51808453
2011/7/15,10.76,10.50675583
2011/7/18,10.69,10.49336243
2011/7/19,10.68,10.48396111
2011/7/20,10.7,10.46996593
2011/7/21,10.61,10.44647598
2011/7/22,10.58,10.41367054
2011/7/25,10.36,10.37647057
2011/7/26,10.6,10.32709408
2011/7/27,10.73,10.28669071
2011/7/28,10.79,10.31292725
2011/7/29,10.68,10.33919621
2011/8/1,10.65,10.34380436
2011/8/2,10.45,10.35190201
2011/8/3,10.45,10.31834698
2011/8/4,10.45,10.28422356
2011/8/5,10.18,10.23770618
2011/8/8,9.86,10.16088772
2011/8/9,9.76,10.03973866
2011/8/10,9.85,9.903166771
2011/8/11,9.92,9.797221184
2011/8/12,9.97,9.687565804
2011/8/15,10.04,9.651946068
2011/8/16,9.97,9.672072411
2011/8/17,9.96,9.719319344
2011/8/18,9.87,9.73283577
2011/8/19,9.81,9.73161602
2011/8/22,9.77,9.698363304
2011/8/23,9.89,9.658788681
2011/8/24,9.84,9.632807732
2011/8/25,10.1,9.619819641
2011/8/26,10.04,9.656842232
2011/8/29,9.94,9.711744308
2011/8/30,9.92,9.729914665
2011/8/31,9.88,9.735711098
2011/9/1,9.85,9.726054192
2011/9/2,9.77,9.698586464
2011/9/5,9.6,9.65973568
2011/9/6,9.7,9.606890678
2011/9/7,9.79,9.555533409
2011/9/8,9.78,9.531509399
2011/9/9,9.81,9.52442646
2011/9/13,9.73,9.535714149
2011/9/14,9.8,9.551754951
2011/9/16,9.69,9.565516472
2011/9/19,9.57,9.553509712
2011/9/20,9.63,9.514409065
2011/9/21,9.77,9.480682373
2011/9/22,9.6,9.480494499
2011/9/23,9.57,9.467858315
2011/9/26,9.63,9.438886642
2011/9/27,9.7,9.426999092
2011/9/28,9.76,9.43126297
2011/9/29,9.81,9.446858406
2011/9/30,9.87,9.479968071
2011/10/10,9.76,9.532290459
2011/10/11,9.81,9.559659958
2011/10/12,9.98,9.567090988
2011/10/13,9.99,9.592216492
2011/10/14,9.89,9.633802414
2011/10/17,9.92,9.63964653
2011/10/18,9.73,9.645208359
2011/10/19,9.74,9.635838509
2011/10/20,0,9.608819008
2011/10/21,9.65,9.267084122
2011/10/24,9.83,9.321572304
2011/10/25,9.86,9.61809063
2011/10/26,9.88,9.846437454
2011/10/27,9.89,9.824929237
2011/10/28,9.98,9.610463142
2011/10/31,9.88,9.669313431
2011/11/1,9.89,9.686608315
2011/11/2,9.96,9.686758041
2011/11/3,9.96,9.686758995
2011/11/4,10.11,9.706802368
2011/11/7,10.04,9.751979828
2011/11/8,10.13,9.780600548
2011/11/9,10.19,9.832407951
2011/11/10,10.06,9.86937809
2011/11/11,10.09,9.875390053
2011/11/14,10.18,9.864216805
2011/11/15,10.12,9.87211132
2011/11/16,9.92,9.88104248
2011/11/17,9.91,9.850403786
2011/11/18,9.81,9.808017731
2011/11/21,9.79,9.750758171
2011/11/22,9.77,9.679379463
2011/11/23,9.7,9.613259315
2011/11/24,9.68,9.57681942
2011/11/25,9.65,9.536224365
2011/11/28,9.72,9.506432533
2011/11/29,9.77,9.494767189
2011/11/30,9.46,9.498806
2011/12/1,9.59,9.478757858
2011/12/2,9.62,9.467985153
2011/12/5,9.66,9.446028709
2011/12/6,9.7,9.427197456
2011/12/7,9.7,9.407835007
2011/12/8,9.68,9.438527107
2011/12/9,9.66,9.452961922
2011/12/12,9.55,9.461744308
2011/12/13,9.56,9.451805115
2011/12/14,9.64,9.438105583
2011/12/15,9.51,9.426013947
2011/12/16,9.63,9.403802872
2011/12/19,9.63,9.384093285
2011/12/20,9.68,9.379836082
2011/12/21,9.7,9.394609451
2011/12/22,9.75,9.419861794
2011/12/23,9.83,9.457568169
2011/12/26,9.71,9.49738884
2011/12/27,9.68,9.522033691
2011/12/28,9.77,9.521195412
2011/12/29,9.79,9.516669273
2011/12/30,9.74,9.528864861
2012/1/4,9.75,9.533432007
2012/1/5,9.8,9.547366142
2012/1/6,9.96,9.564027786
2012/1/9,10.03,9.627421379
2012/1/10,10.12,9.667803764
2012/1/11,10.04,9.726687431
2012/1/12,10.06,9.779038429
2012/1/13,10.2,9.79313755
2012/1/16,10.09,9.834600449
2012/1/17,10.32,9.858298302
2012/1/18,10.22,9.902558327
2012/1/19,10.26,9.931872368
2012/1/20,10.26,9.949210167
2012/1/30,10.13,9.963614464
2012/1/31,10.21,9.966656685
2012/2/1,10.18,9.956025124
2012/2/2,10.21,9.950491905
2012/2/3,10.22,9.948449135
2012/2/6,10.23,9.944051743
2012/2/7,10.09,9.964940071
2012/2/8,10.26,9.94474411
2012/2/9,10.29,9.948025703
2012/2/10,10.31,9.966856956
2012/2/13,10.26,9.979763031
2012/2/14,10.24,9.980161667
2012/2/15,10.25,9.985379219
2012/2/16,10.17,9.988685608
2012/2/17,10.18,9.987732887
2012/2/20,10.29,9.971845627
2012/2/21,10.26,9.98955822
2012/2/22,10.27,9.991511345
2012/2/23,10.31,9.988184929
2012/2/24,10.43,10.01461411
2012/2/27,10.55,10.06402493
2012/2/28,10.6,10.19533634
2012/2/29,10.52,10.24112606
2012/3/1,10.44,10.2321825
2012/3/2,10.59,10.2045908
2012/3/5,10.47,10.22152233
2012/3/6,10.32,10.25287342
2012/3/7,10.28,10.21106529
2012/3/8,10.33,10.14748383
2012/3/9,10.33,10.1070509
2012/3/12,10.28,10.07721043
2012/3/13,10.37,10.0605011
2012/3/14,10.18,10.06074142
2012/3/15,10.23,10.06166172
2012/3/16,10.3,10.03187275
2012/3/19,10.26,10.00746441
2012/3/20,10.21,10.00078869
2012/3/21,10.1,9.995013237
2012/3/22,10.05,9.977930069
2012/3/23,10.04,9.933088303
2012/3/26,10.05,9.881260872
2012/3/27,10.03,9.836286545
2012/3/28,9.87,9.805584908
2012/3/29,9.71,9.778388023
2012/3/30,9.69,9.723786354
2012/4/5,9.72,9.658058167
2012/4/6,9.71,9.594119072
2012/4/9,9.62,9.534927368
2012/4/10,9.66,9.490006447
2012/4/11,9.7,9.466458321
2012/4/12,9.85,9.460625648
2012/4/13,9.81,9.490645409
2012/4/16,9.79,9.518874168
2012/4/17,9.79,9.540565491
2012/4/18,9.89,9.557965279
2012/4/19,9.87,9.587920189
2012/4/20,9.95,9.609530449
2012/4/23,9.85,9.633209229
2012/4/24,9.86,9.650460243
2012/4/25,9.92,9.663819313
2012/4/26,9.91,9.66849041
2012/4/27,9.93,9.669886589
2012/5/2,10.14,9.673083305
2012/5/3,10.11,9.734564781
2012/5/4,10.08,9.78435421
2012/5/7,9.98,9.815284729
2012/5/8,9.93,9.820590019
2012/5/9,9.73,9.800183296
2012/5/10,9.66,9.75344944
2012/5/11,9.66,9.682538033
2012/5/14,9.65,9.598672867
2012/5/15,9.6,9.540139198
2012/5/16,9.52,9.48086834
2012/5/17,9.61,9.441327095
2012/5/18,9.51,9.434985161
2012/5/21,9.52,9.407773018
2012/5/22,9.56,9.366214752
2012/5/23,0,9.356192589
2012/5/24,9.51,9.059207916
2012/5/25,9.48,9.116882324
2012/5/28,9.56,9.390278816
2012/5/29,9.58,9.582964897
2012/5/30,9.55,9.548226357
2012/5/31,9.45,9.365826607
2012/6/1,9.46,9.356695175
2012/6/4,9.3,9.339680672
2012/6/5,9.33,9.306498528
2012/6/6,9.33,9.259797096
2012/6/8,9.11,9.221479416
2012/6/11,9.21,9.162024498
2012/6/12,9.17,9.104146957
2012/6/13,9.19,9.081194878
2012/6/14,9.18,9.048962593
2012/6/15,9.21,9.022707939
2012/6/18,9.24,9.043498993
2012/6/19,9.19,9.057681084
2012/6/20,9.26,9.064007759
2012/6/21,9.12,9.074606895
2012/6/25,9.08,9.069678307
2012/6/26,9.04,9.049670219
2012/6/27,9.03,9.014784813
2012/6/28,8.98,8.984820366
2012/6/29,9.05,8.947796822
2012/7/2,9.06,8.926457405
2012/7/3,9.12,8.921729088
2012/7/4,9.07,8.929825783
2012/7/5,9.09,8.938756943
2012/7/6,9.11,8.951784134
2012/7/9,8.86,8.962615013
2012/7/10,8.96,8.944430351
2012/7/11,8.97,8.913726807
2012/7/12,8.93,8.882469177
2012/7/13,8.95,8.857620239
2012/7/16,8.91,8.82262516
2012/7/17,8.92,8.825726509
2012/7/18,8.93,8.818688393
2012/7/19,9,8.806393623
2012/7/20,8.98,8.829684258
2012/7/23,8.88,8.840079308
2012/7/24,8.86,8.839661598
2012/7/25,8.87,8.825549126
2012/7/26,8.82,8.808636665
2012/7/27,8.89,8.787554741
2012/7/30,8.85,8.77018261
2012/7/31,8.86,8.765878677
2012/8/1,8.91,8.770608902
2012/8/2,8.91,8.776164055
2012/8/3,9.02,8.784432411
2012/8/6,9.02,8.800551414
2012/8/7,9.01,8.830824852
2012/8/8,9.02,8.859164238
2012/8/9,9.03,8.879956245
2012/8/10,9,8.894745827
2012/8/13,8.98,8.90155983
2012/8/14,8.98,8.893780708
2012/8/15,8.91,8.887252808
2012/8/16,8.91,8.875768661
2012/8/17,8.96,8.853461266
2012/8/20,8.91,8.840737343
2012/8/21,8.93,8.832274437
2012/8/22,8.92,8.820857048
2012/8/23,8.88,8.817837715
2012/8/24,8.85,8.814305305
2012/8/27,8.77,8.80110836
2012/8/28,8.95,8.780891418
2012/8/29,8.81,8.779898643
2012/8/30,8.87,8.770648003
2012/8/31,8.81,8.757487297
2012/9/3,8.81,8.74506855
2012/9/4,8.78,8.744949341
2012/9/5,8.77,8.737565041
2012/9/6,8.78,8.7261343
2012/9/7,9,8.712273598
2012/9/10,8.99,8.732592583
2012/9/11,8.91,8.769485474
2012/9/12,8.93,8.796695709
2012/9/13,8.89,8.813467979
2012/9/14,8.95,8.822299004
2012/9/17,8.89,8.830496788
2012/9/19,8.78,8.822603226
2012/9/20,8.63,8.800424576
2012/9/21,8.67,8.759339333
2012/9/24,8.62,8.715041161
2012/9/25,8.66,8.660803795
2012/9/26,8.52,8.609155655
2012/9/27,8.72,8.572766304
2012/9/28,8.78,8.574683189
2012/10/8,8.72,8.586907387
2012/10/9,8.83,8.605338097
2012/10/10,8.85,8.630063057
2012/10/11,8.82,8.678846359
2012/10/12,8.85,8.707053185
2012/10/15,8.86,8.728281021
2012/10/16,8.87,8.742609978
2012/10/17,8.97,8.755400658
2012/10/18,8.99,8.775350571
2012/10/19,8.94,8.81346035
2012/10/22,8.85,8.837315559
2012/10/23,8.84,8.845389366
2012/10/24,8.84,8.829959869
2012/10/25,8.82,8.799788475
2012/10/26,8.73,8.765122414
2012/10/29,8.71,8.726986885
2012/10/30,8.74,8.714035988
2012/10/31,8.68,8.695910454
2012/11/1,8.74,8.66917038
2012/11/2,8.78,8.648931503
2012/11/5,8.79,8.655656815
2012/11/6,8.78,8.662996292
2012/11/7,8.82,8.666834831
2012/11/8,8.72,8.683714867
2012/11/9,8.69,8.689724922
2012/11/12,8.75,8.677666664
2012/11/13,8.63,8.665825844
2012/11/14,8.66,8.65242672
2012/11/15,8.61,8.627641678
2012/11/16,8.57,8.612370491
2012/11/19,8.56,8.591727257
2012/11/20,8.54,8.558114052
2012/11/21,8.59,8.53622818
2012/11/22,8.51,8.516690254
2012/11/23,8.52,8.499918938
2012/11/26,8.51,8.497443199
2012/11/27,8.56,8.490559578
2012/11/28,8.52,8.487524986
2012/11/29,8.5,8.485780716
2012/11/30,8.47,8.484148979
2012/12/3,8.47,8.473847389
2012/12/4,8.58,8.461168289
2012/12/5,8.69,8.459517479
2012/12/6,8.67,8.495317459
2012/12/7,8.71,8.52761364
2012/12/10,8.73,8.565903664
2012/12/11,8.69,8.599301338
2012/12/12,8.73,8.608654976
2012/12/13,8.68,8.625480652
2012/12/14,8.9,8.625303268
2012/12/17,8.91,8.655753136
2012/12/18,8.91,8.704699516
2012/12/19,8.9,8.746303558
2012/12/20,8.9,8.772314072
2012/12/21,8.82,8.788637161
2012/12/24,8.8,8.797361374
2012/12/25,8.97,8.783359528
2012/12/26,8.96,8.793928146
2012/12/27,8.92,8.805966377
2012/12/28,8.97,8.809709549
2012/12/31,9.04,8.825097084
2013/1/4,9.05,8.860098839
2013/1/7,9.05,8.899056435
2013/1/8,9.02,8.917189598
2013/1/9,9.02,8.926165581
2013/1/10,9,8.921988487
2013/1/11,8.91,8.923377037
2013/1/14,9.03,8.905147552
2013/1/15,9.03,8.89436245
2013/1/16,8.97,8.898133278
2013/1/17,8.91,8.897086143
2013/1/18,9,8.879824638
2013/1/21,9.11,8.875095367
2013/1/22,9.01,8.911463737
2013/1/23,9.04,8.927458763
2013/1/24,9.04,8.935236931
2013/1/25,9,8.950534821
2013/1/28,9.07,8.931592941
2013/1/29,9.07,8.928830147
2013/1/30,9.35,8.942536354
2013/1/31,9.26,9.025677681
2013/2/1,9.29,9.09250927
2013/2/4,9.36,9.110186577
2013/2/5,9.32,9.144042969
2013/2/6,9.27,9.1409235
2013/2/7,9.26,9.163256645
2013/2/8,9.33,9.151116371
2013/2/18,9.4,9.154211044
2013/2/19,9.28,9.185143471
2013/2/20,9.3,9.190579414
2013/2/21,9.05,9.175217628
2013/2/22,8.98,9.144864082
2013/2/25,9.01,9.08884716
2013/2/26,8.89,9.027494431
2013/2/27,8.96,8.961964607
2013/2/28,9.05,8.889276505
2013/3/1,9.01,8.877179146
2013/3/4,8.84,8.883349419
2013/3/5,8.86,8.869193077
2013/3/6,8.92,8.858529091
2013/3/7,8.85,8.84193325
2013/3/8,8.88,8.819515228
2013/3/11,8.88,8.782499313
2013/3/12,8.96,8.77752018
2013/3/13,8.86,8.798592567
2013/3/14,8.87,8.800204277
2013/3/15,8.92,8.80255127
2013/3/18,8.84,8.80328846
2013/3/19,8.89,8.796280861
2013/3/20,8.95,8.785412788
2013/3/21,8.93,8.794350624
2013/3/22,8.89,8.806735039
2013/3/25,8.93,8.811692238
2013/3/26,8.83,8.826291084
2013/3/27,8.82,8.817690849
2013/3/28,8.71,8.800597191
2013/3/29,8.69,8.769449234
2013/4/1,8.69,8.730971336
2013/4/2,8.73,8.682349205
2013/4/3,8.72,8.655705452
2013/4/8,8.61,8.62945652
2013/4/9,8.61,8.625182152
2013/4/10,8.65,8.612271309
2013/4/11,8.63,8.607224464
2013/4/12,8.63,8.593430519
2013/4/15,8.52,8.574512482
2013/4/16,8.53,8.572318077
2013/4/17,8.52,8.551645279
2013/4/18,8.48,8.527441025
2013/4/19,8.56,8.499760628
2013/4/22,8.57,8.483290672
2013/4/23,8.47,8.487717628
2013/4/24,8.51,8.488066673
2013/4/25,8.52,8.47544384
2013/4/26,8.48,8.474419594
2013/5/2,8.43,8.471387863
